Film_title,Release_year,Runtime,Director,Producer,Writer,Editor,Cinematography,Production Design,Composer,Sound,Genre,Cast,Personal_rating,Average_rating,Letterboxd URL
Sid & Aya: Not a Love Story,2018,94,Irene Villamor,"['Veronique del Rosario-Corpus', 'Neil Arce', 'June Torrejon-Rufino', 'Ava Yap']",['Irene Villamor'],['Carlo Francisco Manatad'],['Pao Orendain'],['Ferdie Abuel'],['Len Calvo'],['Mikko Quizon'],"['drama', 'romance']","['Anne Curtis', 'Dingdong Dantes', 'Gabby Eigenmann', 'Cholo Barretto', 'Bubbles Paraiso', 'Josef Elizalde', 'Pio Balbuena', 'Gab Lagman', 'Joey Marquez', 'Jobelle Salvador', 'Johnny Revilla']",nan,3.42,https://letterboxd.com//film/sid-aya-not-a-love-story/
Shake Rattle and Roll 8,2006,94,"Topel Lee, Rahyan Carlos",nan,"['Roselle Y. Monteverde', 'Fairlane Raymundo', 'Enzo Valdez', 'Ben Cho', 'Edzon Mario Rapisora', 'Iris Saldavia-Aniban']",nan,nan,nan,nan,nan,"['comedy', 'horror']","['Keanna Reeves', 'Iza Calzado', 'Manilyn Reynes', 'Bearwin Meily', 'Keempee de Leon', 'Ehra Madrigal', 'Sheryl Cruz', 'Roxanne Guinoo', 'Empress Schuck', 'Isay Alvarez', 'Eugene Domingo', 'Joseph Bitangcol', 'Janus Del Prado', 'Nash Aguas', 'TJ Trinidad', 'I.C. Mendoza', 'Robert Seña', 'Krystal Reyes', 'Yuki Kadooka', 'Renford Alano', 'Aaron Junatas', 'Cresta Amor', 'Myqeen Rodriguez', 'Debraliz', 'Boom Labrusca', 'Nene Tamayo', 'Jillian Usero', 'Nicole Cruz', 'Saver', 'Quintin Alianza', 'Dino Imperial', 'Cassandra Ponti', 'Charles Christianson', 'Oliver Aquino', 'Sergio Garcia', 'Mico Palanca', 'Mario Magallona', 'Mario Lipit', 'Menggie Cobarrubias', 'Tom Olivar']",nan,3.41,https://letterboxd.com//film/shake-rattle-and-roll-8/
Ma' Rosa,2016,110,Brillante Mendoza,['Loreto Larry Castillo'],['Troy Espiritu'],['Diego Marx Dobles'],['Odyssey Flores'],nan,['Teresa Barrozo'],nan,['drama'],"['Jaclyn Jose', 'Julio Diaz', 'Felix Roco', 'Jomari Angeles', 'Andi Eigenmann', 'Mark Anthony Fernandez', 'Baron Geisler', 'Mon Confiado', 'Neil Ryan Sese', 'Timothy Castillo', 'Allan Paule', 'Mercedes Cabral', 'Maria Isabel Lopez', 'Ruby Ruiz', 'Aaron Rivera', 'Mark Dionisio', 'Vince Rillon', 'John Paul Duray', 'Inna Tuason', 'Luis Ruiz', 'Kristoffer King']",nan,3.42,https://letterboxd.com//film/ma-rosa/
The Spider's Lair,2013,101,Jason Paul Laxamana,['Ferdinand Lapuz'],['Jason Paul Laxamana'],['Carlo Francisco Manatad'],['Topel Lee'],['Lars Magbanua'],nan,['Addiss Tabong'],"['drama', 'thriller']","['Alex Vincent Medina', 'Joey Paras', 'Alma Concepcion', 'Kiko Matos', 'Nico Antonio', 'Chanel Latorre', 'Marx Topacio', 'Raqs Regalado', 'Gary Lim', 'Sunshine Teodoro', 'Menggie Cobarrubias', 'Vicky Vega-Cabigting', 'Earl Policarpio', 'Aurel Ayson', 'Clarence Ayuyao', 'Bong Russo', 'Aaron Agustin', 'Julie Mae Barrios', 'Jhayz Cariazo', 'Gerard Garcia', 'Lester Paul Lacson', 'Marlon Del Rosario', 'Jerick Rodriguez', 'Clarklouis Sanchez', 'Reiniel Troy Mercado', 'Elison Kalel Ramos', 'Steven Brent Santuangco', 'Sheree Dwayne Torres', 'Nessa Rae Trinidad', 'Angela Cassandra Serrano', 'Angela Chloe Amio', 'Zephrine Dane Cura']",nan,3.42,https://letterboxd.com//film/the-spiders-lair/
Are You Afraid of the Dark?,1996,100,Mark A. Reyes,nan,nan,nan,nan,nan,nan,nan,['horror'],"['Angelu de Leon', 'Bobby Andrews', 'Rica Peralejo', 'Onemig Bondoc', 'Red Sternberg', 'Michael Flores', 'Lee Robin Salazar', 'Raven Villanueva', 'Berting Labra', 'Idelle Martinez', ""Danny 'Brownie' Punzalan"", 'Michael Gomez', 'Amanda Page', 'Marjorie Barretto', 'Jessa Zaragoza', 'Richard Bonnin', 'Ernie Zarate', 'Tessie Villarama', 'Ver De Guzman', 'Jun Cortez', 'Andrea Mendoza', 'Rea Valdez', 'Lito Nuñez', 'Meldy Oytingco', 'Alwyn Oytingco']",nan,3.42,https://letterboxd.com//film/are-you-afraid-of-the-dark-1996/
Blue Room,2022,107,Ma-an Asuncion-Dagñalan,nan,"['Siege Ledesma', 'Ma-an Asuncion-Dagñalan']",['Vanessa U. De Leon'],['Neil Daza'],['Marxie Maolen Fadul'],nan,"['Jannina Mikaela Minglanilla', 'Michael Keanu Cruz']","['drama', 'comedy', 'crime']","['Juan Karlos Labajo', 'Elijah Canlas', 'Nour Hooshmand', 'Harvey Bautista', 'Keoni Jin', 'Soliman Cruz', 'Bombi Plata', 'Erwin Jercho Arceo', 'Bon Andrew Lentejas', 'Ricardo Cepeda']",nan,3.42,https://letterboxd.com//film/blue-room-2022-1/
Bar Boys,2017,110,Kip Oebanda,"['Kip Oebanda', 'Regina Valenzuela', 'Karen Testibia', 'Gavin Kho', 'Kevin Kho', 'Vanessa Ulgado']",['Kip Oebanda'],['JD Domingo'],['Sasha Palomares'],['Aped Santos'],nan,['Bryan Dumaguina'],"['comedy', 'drama']","['Carlo Aquino', 'Kean Cipriano', 'Enzo Pineda', 'Rocco Nacino', 'Anna Luna', 'Mailes Kanapi', 'Sebastian Castro', 'Hazel Faith Dela Cruz', 'Pontri Bernardo', 'Maey Bautista', 'Rener Concepcion', 'Irene Celebre', 'Vance Larena', 'Lharby Policarpio', 'Odette Khan']",nan,3.42,https://letterboxd.com//film/bar-boys/
Kailangan Kita,2002,105,Rory B. Quintos,nan,"['Shaira Mella Salvador', 'Moira Lang', 'Emmanuel Dela Cruz']",['Marya Ignacio'],['Shayne Sarte'],['Nuel C. Naval'],['Jessie Lasaten'],['Addiss Tabong'],"['romance', 'drama']","['Aga Muhlach', 'Claudine Barretto', 'Johnny Delgado', 'Liza Lorena', 'Jericho Rosales', 'Dante Rivero', 'Cholo Escaño', 'Nicole Judalena', 'Igi Boy Flores', 'Cris Villanueva', 'Rissa Mananquil-Samson', 'Gerald Madrid', 'Ces Quesada', 'Madeleine Nicolas', 'Jon Achaval', 'Fonz Deza', 'Farrah Florer', 'Jessette Prospero', 'Randy Gamier', 'Idda Yaneza']",nan,3.42,https://letterboxd.com//film/kailangan-kita/
Rosario,2010,120,Albert Martinez,nan,"['Elmer L. Gatchalian', 'Manuel V. Pangilinan']",nan,nan,nan,nan,nan,"['drama', 'crime']","['Jennylyn Mercado', 'Yul Servo', 'Dolphy', 'Dennis Trillo', 'Isabel Oli', 'Eula Valdez', 'Empress Schuck', 'Sid Lucero', 'Ricky Davao', 'Phillip Salvador', 'Rita Avila', 'Lester Llansang', 'Jaime Fabregas', 'Tonton Gutierrez', 'Precious Lara Quigaman', 'Ronaldo Valdez', 'Ara Mina', 'Albert Martinez', 'Chinggoy Alonzo', 'Bing Loyzaga', 'Chanda Romero', 'Dino Guevarra', 'Gold Aceron', 'Elijah Alejo', 'Owie Boy Gapuz', 'Liza Lorena', 'Manuel V. Pangilinan', 'Joy Ortega', 'Desiree del Valle', 'Dino Imperial', 'Lloyd Samartino', 'Miki Hahn', 'Jaime Rivera', 'Gaby Dela Merced', 'Liezel Martinez', 'Bong Sta. Maria', 'Bert Martinez', 'Lito Pimentel', 'Ron Morales']",nan,3.41,https://letterboxd.com//film/rosario/
Whether the Weather Is Fine,2021,105,Carlo Francisco Manatad,"['Vincent Wang', 'Joji Alonso', 'Jonas Weydemann', 'Yulia Evina Bhara', 'Ling Tiong', 'Armi Rae Cacanindin']","['Giancarlo Abrahan', 'Carlo Francisco Manatad', 'Jérémie Dubois']",['Benjo Ferrer'],nan,['Whammy Alcazaren'],['Andrew Florentino'],['Roman Dymny'],['drama'],"['Charo Santos-Concio', 'Daniel Padilla', 'Rans Rifol', 'Mercedes Cabral', 'Johnny Manahan', 'Marco Yutoc', 'Francis Magundayao', 'Nico Antonio', 'Manuel Veloso', 'Bibo Bayona', 'Joji Alonso', 'Rolly Inocencio', 'Keifer Sanchez', 'Francis Concepcion', 'Mackie Empuerto']",nan,3.41,https://letterboxd.com//film/whether-the-weather-is-fine/
How She Left Me,2018,106,Joel Ruiz,nan,"['Aloy Adlawan', 'Joel Ruiz']",['Lawrence S. Ang'],['Ike Avellana'],['Christina Dy'],nan,['Mikko Quizon'],"['drama', 'romance']","['JM de Guzman', 'Rhian Ramos', 'Barbara Ruaro', 'Agot Isidro', ""Paolo O'Hara"", 'Chase Salazar', 'Nafa Hilario Cruz', 'VJ Mendoza', 'Aika Zabala', 'Ahlex Leyva', 'Ira Locnen', 'Ricky Davao', 'Omar Flores', 'Jessica Marco', 'Nicolo Ricardo Magno', 'Janine Rubin', 'Kent Zamora', 'Jade Chrystal Canuban', 'Nor Domingo', 'Teroy Guzman', 'Matt Daclan', 'Lian Renz Silverio', 'Juric Christian Nuque', 'Paolo Paraiso', 'Raquel Villavicencio', 'Micah Musa', 'Emmanuelle Vera', 'Gee Canlas', 'Trish Estuart', 'Audrey Adoptante', 'Queenie Fernandes', 'Princess Venzon']",nan,3.41,https://letterboxd.com//film/how-she-left-me/
Escape,1995,117,Chito S. Roño,"['Malou N. Santos', 'Simon C. Ongpin']","['Roy Iglesias', 'Jose F. Lacaba']",['Jess Navarro'],['Ely Cruz'],['Jeffrey Jeturian'],['Jaime Fabregas'],['Ramon Reyes'],"['thriller', 'action', 'drama']","['Christopher de Leon', 'Richard Gomez', 'Dina Bonnevie', 'Ricky Davao', 'Armando Goyena', 'Mark Anthony Fernandez', 'Eric Fructuoso', 'Farrah Florer', 'Paula Peralejo', 'T.J. Cruz', 'Camille Prats', 'Carlo Pratts', 'Maila Gumila', 'Amado Cortez', 'Karl Angelo Legaspi', 'Grizelle Anne Gratela', 'Mark Gil', 'Joel Torre', 'Dido dela Paz', 'Augusto Victa', 'Pocholo Montes', 'Ramon Recto', 'Teresa Loyzaga', 'Romeo Rivera', 'Miguel Faustmann', 'Anne Torres', 'Bon Vibar', 'Beat Grassi', 'Nestor Escano', 'Olga Natividad', 'Jennifer Jacob', 'Ray Ventura', 'Ding Navasero', 'Gammy Viray', 'Troy Martino']",nan,3.4,https://letterboxd.com//film/escape-1995/
Ma,2018,72,Kenneth Lim Dagatan,"['Bianca Balbuena', 'Ronald Arguelles', 'Bradley Liew', 'Iana Bernardez', 'Linggit Tan-Marasigan']","['Kenneth Lim Dagatan', 'Dodo Dayao']","['Bradley Liew', 'Jose Basa']",['Cesca Lee'],['Remton Siega Zuasola'],['Francis de Veyra'],['Immanuel Verona'],"['horror', 'thriller']","['Anna Luna', 'Glydel Mercado', 'Kyle Espiritu', 'Alessandra Malonzo', 'Enzo Osorio', 'Kate Alejandrino', 'Susan Africa', 'Rafa Siguion-Reyna']",nan,3.4,https://letterboxd.com//film/ma-2018/
Tuhog,2013,105,Veronica Velasco,nan,"['Veronica Velasco', 'Jinky Laurel']",['Beng Bandong'],['Kerwin Go'],['Erik Manalo'],['Vincent de Jesus'],['Arnel Labayo'],"['drama', 'comedy']","['Eugene Domingo', 'Enchong Dee', 'Leo Martinez', 'Jake Cuenca', 'Empress Schuck', 'Nikki Gil', 'KitKat', 'Nor Domingo', 'Noel Trinidad', 'Ariel Ureta', 'Allyzon Lualhati', 'Nicco Manalo', 'Nikki Valdez', 'Carla Martinez', 'Dimples Romana', 'Maliksi Morales', 'Rodjun Cruz', 'Eda Nolan', 'Beauty Gonzalez', 'Manuel Chua', 'Nico Antonio', 'Hyubs Azarcon', 'Menggie Cobarrubias', 'Jon Achaval', 'Vincent de Jesus', 'Arnold Reyes', 'Veronica Louise Bernardo', 'Mary Ann Janice Espinosa', 'Dante Balois', 'Kimmy Maclang']",nan,3.4,https://letterboxd.com//film/tuhog/
Sleepless,2015,120,Prime Cruz,nan,"['Prime Cruz', 'Jen Chuaunsu']",['Galileo Te'],['Tey Clamor'],['Nestor Abrogena Jr.'],['BP Valenzuela'],['Denise Santos'],"['romance', 'comedy']","['Glaiza de Castro', 'Dominic Roco', 'TJ Trinidad', 'Irma Adlawan', 'Bea Galvez', 'Dennis Marasigan', 'Luigi Gonzalez']",nan,3.4,https://letterboxd.com//film/sleepless-2015/
What Isn't There,2012,121,Marie Jamora,"['Marie Jamora', 'Daphne Chiu', 'Trinka Lat', 'Bernard Dacanay', 'John Sy']","['Marie Jamora', 'Ramon De Veyra']","['Marie Jamora', 'Edsel Abesames']",['Leung Ming-kai'],nan,nan,['Ditoy Aguila'],"['romance', 'drama']","['Dominic Roco', 'Annicka Dolonius', 'Dawn Zulueta', 'Felix Roco', 'Boboy Garovillo', 'Alcris Galura', 'Mercedes Cabral', 'Kelvin Yu', 'Jenny Jamora', 'Marc Abaya', 'Sabrina Man']",nan,3.4,https://letterboxd.com//film/what-isnt-there/
RPG Metanoia,2010,103,Luis C. Suarez,nan,"['Tey Clamor', 'Jade Castro', 'Luis C. Suarez']","['Joey Conejos', 'Joana R. Vasquez']",nan,['William Moraga'],nan,nan,"['animation', 'fantasy', 'drama', 'adventure']","['Aga Muhlach', 'Vhong Navarro', 'Eugene Domingo', 'Zaijian Jaranilla', 'Mika Dela Cruz', 'Jairus Aquino', 'Aaron Junatas', 'Basty Alcances', 'Ketchup Eusebio', 'Igi Boy Flores', 'Jonas Calapatan', 'Bebot Lofranco', 'Joy Villar', 'Stephen Adap', 'Eileen Villar', 'Arvin Sangalang', 'Charles A. Rapoport', 'Maria Christina Capito Rabonza', 'Deomeddez Dipasupil', 'Carlo Santos', 'Ralph Ramil M. Mendoza', 'Reg Gutierrez', 'Francisco G. Latoja Jr.', 'Sandy Aguinaldo', 'Luis C. Suarez', 'Angelo Cardona', 'Aylmer Alfred Ong Velez', ""Aylwin Alfred 'Win' Ong Velez"", 'Falinie B. Purol', 'Anabella Lagon', 'Michael Molina', 'Connie M. Valdriz', 'Laurento Jovito H. Fua', 'Jose B. Barja Jr.', 'Joey Conejos', 'Jesusa Comon', 'Sheila Marcos', 'Joana R. Vasquez', 'Voltaire Cada', 'Eloisa Mercado-Gutierrez', 'Alexander W. Matias', 'Jaymie Charise O. San Miguel', 'Anne Marie G. Andaya', 'Cia Simon', 'Bong Reynaldo', 'Raymundo De Chavez', 'Marvin Volante']",nan,3.4,https://letterboxd.com//film/rpg-metanoia/
Independencia,2009,77,Raya Martin,nan,"['Raya Martin', 'Ramon Sarmiento']",['Jay Halili'],['Jeanne Lapoirie'],['Digo Ricio'],['Lutgardo Labad'],nan,['drama'],"['Sid Lucero', 'Alessandra de Rossi', 'Tetchie Agbayani', 'Mika Aguilos', 'Bodjie Pascua', 'Lui Manansala', 'Carl Lawrence Lagasca', 'Bong Cabrera', 'Lav Diaz', 'Arnold Reyes', 'Angeli Bayani', 'Adriana Agcaoili', 'Nikki Ocampo', 'Lowell Conales', 'Richard Gonzales']",nan,3.4,https://letterboxd.com//film/independencia-2009/
