Film_title,Release_year,Runtime,Director,Producer,Writer,Editor,Cinematography,Production Design,Composer,Sound,Genre,Cast,Personal_rating,Average_rating,Letterboxd URL
Dahling Nick,2015,178,Sari Dalena,['Keith Sicat'],"['Sari Dalena', 'Keith Sicat', 'Kris Lanot Lacaba']",['Keith Sicat'],['Nap Jamir'],"['Joel Bilbao', 'Ma. Criselda Dacanay']",['Francis de Veyra'],['Mark Laccay'],"['documentary', 'drama']","['Raymond Bagatsing', 'Alessandra de Rossi', 'Maria Isabel Lopez', 'Ping Medina', 'Che Ramos', 'Gabby Padilla', 'Adrian Cabido', 'Bernardo Bernardo', 'Karl Medina', 'Thea Yrastorza', 'Opaline Santos', 'Hazel Faith Dela Cruz', 'Mailes Kanapi', 'Dindi Gallardo', 'Lance Raymundo', 'Kiko Matos', 'Paul Cedrick Gutierrez Juan', 'Ross Pesigan', 'Rohan Rostata', 'Karla Pambid', 'Emmanuel Dela Cruz', 'Nick Lizaso', 'Darwin de Roxas', 'Johnny Regaña', 'Faye Alhambra Maven', 'Banaue Miclat']",nan,3.52,https://letterboxd.com//film/dahling-nick/
Raging Grace,2023,99,Paris Zarcilla,"['Chi Thai', 'Darlene Catly Malimas']",['Paris Zarcilla'],['Chris Chow'],['Joel Honeywell'],nan,nan,nan,"['thriller', 'horror']","['Max Eigenmann', 'David Hayman', 'Leanne Best', 'Jaeden Paige Boadilla', 'Caleb Johnston-Miller', 'Oliver Wellington', 'Eugenia Low', 'Jodie Cuaresma', 'Seb Yates Cridland']",nan,3.52,https://letterboxd.com//film/raging-grace/
The Sea Gypsies,1957,105,Lamberto V. Avellana,nan,['Rolf Bayer'],['Enrique Jarlego'],['Mike Accion'],nan,['Francisco Buencamino Jr.'],['July P. Hidalgo'],"['drama', 'romance']","['Rosa Rosal', 'Tony Santos', 'Leroy Salvador', 'Joseph de Cordova', 'Vic Silayan', 'Oscar Keesee', 'Pedro Faustino', 'Arturo Moran', 'Tony Dantes', 'Gerry Gabaldon']",nan,3.52,https://letterboxd.com//film/the-sea-gypsies-1957/
Esprit de Corps,2014,94,Auraeus Solito,nan,['Auraeus Solito'],['Lawrence Fajardo'],['Louie Quirino'],['Endi Balbuena'],['Diwa de Leon'],['Diwa de Leon'],['drama'],"['Sandino Martin', 'JC Santos', 'Lharby Policarpio', 'Garry Lim', 'Abner Delina, Jr.', 'VJ Mendoza', 'Don Gordon Bell', 'Sue Prado']",nan,3.52,https://letterboxd.com//film/esprit-de-corps/
Do Re Mi,1996,110,Ike Jarlego Jr.,nan,['Mel Mendoza-Del Rosario'],nan,nan,nan,nan,nan,"['comedy', 'drama', 'music']","['Donna Cruz', 'Regine Velasquez', 'Mikee Cojuangco', 'Gloria Romero', 'Anthony Cortez', 'Lee Robin Salazar', 'Melisse Santiago', 'Evangeline Pascual', 'Gary Estrada', 'Ramil Rodriguez', 'Berting Labra', 'Lorli Villanueva', 'Gerard Faisan', 'Ricky Rivero', 'Carlos Ramirez', 'Carlos Ramirez II', 'Archie Ventosa', 'Ferdie Lagman', 'Nonong Talbo', 'Joe Jardi', 'Eric Jimenez', 'Dodie Acuña', 'Elaine Quemuel', 'Carol Marcelo', 'Champaigne Acosta', 'Cesar Montano', 'Ruby Rodriguez', 'Archie Adamos', 'Joanne Salazar']",nan,3.52,https://letterboxd.com//film/do-re-mi-1996/
In My Own Hands,1996,115,Rory B. Quintos,nan,"['Mel Mendoza-Del Rosario', 'Olivia M. Lamasan', 'Ricardo Lee', 'Benjou Elgincolin']",['Jess Navarro'],['Romeo Vitug'],['Elfren Vibar'],['Nonong Buencamino'],"['Albert Michael Idioma', 'Arnold Reodica']","['drama', 'action', 'crime', 'thriller']","['Aga Muhlach', 'Christopher de Leon', 'Chin Chin Gutierrez', 'Kier Legaspi', 'Karl Angelo Legaspi', 'Mae-ann Adonis', 'Amy Austria', 'Robert Arevalo', 'Rachel Lobangco', 'Teresa Loyzaga', 'Tess Dumpit', 'Rosemarie Gil', 'Ramil Rodriguez', 'Romeo Rivera', 'Orestes Ojeda', 'Stefano Mori', 'Tata Melendez', 'Cris Michelena', 'Tracy Montelibano', 'Manny Mendoza', 'Zafey Alonzo', 'Shannen Torres', 'Patricia Ann Bermudez', 'Archie Adamos', 'Japh Bahian', 'Eddie Albert Ramos', 'Princess Ann Schuck', 'Noel Sandoval', 'Jojo Lopez', 'Nido De Jesus']",nan,3.51,https://letterboxd.com//film/in-my-own-hands/
Blue Bustamante,2013,88,Miko Livelo,['Jaime Dumancas'],"['Joel Ferrer', 'Miko Livelo']","['Maui Mauricio', 'Nicole Ang']","['Neil Bion', 'Neil Blon']",['Marielle Hizon'],['Diego Mapa'],nan,"['comedy', 'family']","['Joem Bascon', 'Jun Sabayton', 'Dimples Romana', 'Jhiz Deocareza', 'Gerard Go', 'Mari Koduka', 'Hirohisa Nakamura', 'Dey-Dey Amansec', 'Veyda Inoval', 'Josh de Guzman', 'Denzel Guiao', 'Carlos Dala', 'Seiji Nakamura', 'Tetsuo Nagasawa', 'Jolo Livelo', 'Naho Sakamoto', 'Herald Chavez', 'Ketchup Eusebio', 'Cesca Lee', 'Jason Tan', 'Mihk Vergara', 'Deb Victa', 'Hiroshi Furuya', 'Kacchan', 'Joey de Leon']",nan,3.52,https://letterboxd.com//film/blue-bustamante/
Child of Sorrow,1956,119,Lamberto V. Avellana,nan,['Rolf Bayer'],['Enrique Jarlego'],['Mike Accion'],nan,['Francisco Buencamino Jr.'],['July P. Hidalgo'],"['crime', 'drama']","['Rosa Rosal', 'Tony Santos', 'Joseph de Cordova', 'Vic Silayan', 'Vic Bacani', 'Leroy Salvador', 'Rosa Aguirre', 'Oscar Kesse', 'Alfonso Carvajal', 'Johnny Reyes', 'Eddie Rodriguez', 'Arturo Moran']",nan,3.51,https://letterboxd.com//film/child-of-sorrow/
Quick Change,2013,82,Eduardo Roy Jr.,['Ferdinand Lapuz'],['Eduardo Roy Jr.'],['Fiona Borres'],['Dan Villegas'],['Harley Alcasid'],['Teresa Barrozo'],['Albert Michael Idioma'],['drama'],"['Mimi Juareza', 'Miggs Cuaderno', 'Francine Garcia', 'Jun Jun Quintana']",nan,3.51,https://letterboxd.com//film/quick-change-2013/
The Portrait,2017,120,Loy Arcenas,nan,['Rolando Tinio'],['Lawrence Fajardo'],['Boy Yñiguez'],['Gino Gonzales'],['Ryan Cayabyab'],nan,"['family', 'music', 'drama', 'history']","['Joanna Ampil', 'Rachel Alejandro', 'Celeste Legaspi', 'Cris Villonco', 'Aicelle Santos', 'Menchu Lauchengco-Yulo', 'Robert Arevalo', 'Nonie Buencamino', 'Sandino Martin', 'Paulo Avelino', 'Cara Manglapus', 'Zsa Zsa Padilla', 'Rayver Cruz', 'Ogie Alcasid', 'Jojit Lorenzo']",nan,3.51,https://letterboxd.com//film/the-portrait-2017/
Ang Tanging Ina,2003,95,Wenn V. Deramas,['Elma S. Medua'],"['Mel Mendoza-Del Rosario', 'Keiko Aquino']",['Vito Cajili'],['Sherman So'],['Danny Cristobas'],['Jessie Lasaten'],['Arnold Reodica'],"['drama', 'comedy', 'family']","['Ai-Ai delas Alas', 'Eugene Domingo', 'Marvin Agustin', 'Nikki Valdez', 'Carlo Aquino', 'Heart Evangelista', 'Alwyn Uytingco', 'Mark Acueza', 'Shaina Magdayao', 'Serena Dalrymple', 'Jiro Manio', 'Yuki Kadooka', 'Kaye Abad', 'John Prats', 'Angelica Panganiban', 'Dennis Padilla', 'Edu Manzano', 'Tonton Gutierrez', 'Jestoni Alarcon', 'Bianca Calma', 'Connie Chua', 'Andoy Ranay', 'Chris Alan Chanliongco', 'Jojit Lorenzo', 'Rommel Rellora', 'Anthony Griar', 'Nestor Balla', 'Dianne Tejada', 'Michelle Ayalde', 'Nikki Laurel', 'Liberty Lometillo', 'Jose Fernando Camus', 'Aaron Concepcion', 'Pinky Amador', 'Mandy Ochoa', 'Sergio Garcia', 'Ricky Rivero', 'Kathy Despa']",nan,3.5,https://letterboxd.com//film/ang-tanging-ina/
Never Not Love You,2018,105,Antoinette Jadaone,"['Dan Villegas', 'Antoinette Jadaone', 'Veronique del Rosario-Corpus', 'Vincent del Rosario III']",['Antoinette Jadaone'],['Benjamin Gonzales Tolentino'],"['Mycko David', 'Carlos Mauricio']",['Ana Lou Sanchez'],['Len Calvo'],"['Mikko Quizon', 'Jason Conanan']","['drama', 'romance']","['Nadine Lustre', 'Adrian Alandy', 'James Reid', 'Roque Lee', 'Dave Dela Cruz Manalo', 'Neilwin Joseph Casilana Carillo', 'Janica Buhain', 'John Robert Luna', 'Tantan Jordan', 'Zandra Summer', 'Sharmaine Suarez', 'Kristine Mangle', 'Daniela Carolino', 'Josef Elizalde', 'Alexis Navarro', 'Yayo Aguila', 'Rez Cortez', 'Vitto Marquez', 'Abby Bautista', 'Richard Bolisay', 'Allan Villafuerte', 'Connie Virtucio', 'Carmille Apdua', 'Patricia Ferraren', 'Jamie Scott Gordon', 'Wela Mbusi', 'Dan Lickley', 'Bud Brennan Williams', 'Radley Mason', 'Lucy Cates', 'Ahmet Sharma', 'Zelda Rosset Colon', 'Nana Nanoush', 'Clarissa Mae Ragrag', 'Kevin Bedford', 'Richard Bevan', 'Rachel Palmer', 'Connor Middleton', 'Chiarra Ianno', 'Gab Lagman', 'Andrea Del Rosario', 'Joan Palisoc', 'Rona May Moreno', 'Angelina Tinimbang', 'Benedict Campos', 'Miles Poblete']",nan,3.51,https://letterboxd.com//film/never-not-love-you/
The Flor Contemplacion Story,1995,120,Joel Lamangan,['Eric M. Cuatico'],"['Ricardo Lee', 'Bonifacio Ilagan']","['Joyce E. Bernal', 'Edgardo Vinarao']",['Romeo Vitug'],['Manny Morfe'],['Vehnee Saturno'],['Ramon Reyes'],"['thriller', 'drama', 'crime']","['Nora Aunor', 'Julio Diaz', 'Jaclyn Jose', 'Vina Morales', 'Ian de Leon', 'Caridad Sanchez', 'Amy Austria', 'Rita Avila', 'Tony Mabesa', 'Kristine Garcia', 'Ara Mina', 'Frank Rivera', 'Gloria Sevilla', 'Charito Solis', 'Ronaldo Valdez']",nan,3.5,https://letterboxd.com//film/the-flor-contemplacion-story/
Señorita,2011,100,Isabel Sandoval,"['Isabel Sandoval', 'Darlene Catly Malimas']","['Isabel Sandoval', 'Roy Sevilla Ho']",['Charliebebs Gohetia'],['Ruel Dahis Antipuesto'],['Armi Rae Cacanindin'],['Teresa Barrozo'],nan,"['drama', 'crime']","['Isabel Sandoval', 'Publio Briones III', 'Dominic Milano Palomo', 'Richard Manabat', 'Stella Palomo Monteño']",nan,3.5,https://letterboxd.com//film/senorita/
Radio Romance,1996,123,Jose Javier Reyes,nan,"['Jose Javier Reyes', 'Ma. Concio Imperial']",['Danny Gloria'],['Ricardo Jacinto'],['Jayjay Medina'],['Jessie Lasaten'],nan,"['romance', 'drama']","['Claudine Barretto', 'Rico Yan', 'Gelli De Belen', 'Paolo Abrera', 'Sharmaine Arnaiz', 'Robin Da Roza', 'John Estrada', 'Jolina Magdangal', 'Noel Trinidad', 'Gina Pareño', 'Eula Valdez', 'Jason Zamora', 'Koko Trinidad', 'Ama Quiambao', 'Nikka Valencia', 'Joshua Zamora', 'Malou Crisologo', 'Lito Villareal', 'Ogie Diaz', 'Dexter Sason', 'Mon Confiado', 'Angie Castrence', 'Shannen Torres', 'Ernie Zarate', 'Monti Tirasol', 'Imelda Trinidad', 'Valen Biltz', 'Bang Farolan', 'Alzie Mascenon', 'Derek Carmona', 'Shaan Bermudez', 'Erickson Lacanilao', 'Alvin De Gamo', 'Toffee Calma', 'Mel Kimura', 'Froilan Sales', 'Tootsie Guevarra', 'Troy Gomez']",nan,3.5,https://letterboxd.com//film/radio-romance/
